,Product Type,Product Name,Price,Skin Type,List,Year
0,PRIMER,L’Oréal Paris Infallible Matte-Lock Mattifying Primer,$13,None,Bases,2018
1,PRIMER,First Aid Beauty Hello Fab Coconut Skin Smoothie Priming Moisturizer,$28,None,Bases,2018
2,PRIMER,Read the review +,$44,None,Bases,2018
3,FOUNDATION: Light Coverage,Dermablend Flawless Creator,$40,None,Bases,2018
4,FOUNDATION: Medium Coverage,Marc Jacobs Beauty Shameless Youthful-Look 24-H Foundation,$46,None,Bases,2018
5,FOUNDATION: Full Coverage,Maybelline New York SuperStay 24HR Full Coverage Foundation,$12,None,Bases,2018
6,FOUNDATION: Long-Wearing,Estée Lauder Double Wear Stay-in-Place Makeup,$42,None,Bases,2018
7,FOUNDATION: BB Cream / Tinted Moisturizer,BareMinerals Complexion Rescue Tinted Hydrating Gel Cream,$30,None,Bases,2018
8,BLUSH: Powder,Flower Beauty Flower Pots Powder Blush,$10,None,Bases,2018
9,BLUSH: Cream,Wander Beauty On-the-Glow Blush and Illuminator,$42,None,Bases,2018
10,HIGHLIGHTER: Powder,Maybelline New York FaceStudio Master Chrome Metallic Highlighter,$10,None,Bases,2018
11,HIGHLIGHTER: Liquid,L’Oréal Paris True Match Lumi Glow Amour Glow Boosting Drops,$15,None,Bases,2018
12,HIGHLIGHTER: Cream,Ciaté London Dewy Stix,$26,None,Bases,2018
13,HIGHLIGHTER: Holographic,Milani Hypnotic Lights Powder Highlighter,$13,None,Bases,2018
14,CONTOUR KIT,KKW Beauty Powder Contour & Highlight Kit,$52,None,Bases,2018
15,POWDER: Pressed,Laura Mercier Translucent Pressed Setting Powder,$38,None,Bases,2018
16,POWDER: Loose,BECCA Cosmetics Hydra-Mist Set & Refresh Powder,$38,None,Bases,2018
17,CONCEALER: Under-Eyes,Laura Mercier Flawless Fusion Ultra-Longwear Concealer,$28,None,Bases,2018
18,CONCEALER: Blemishes,Nars Soft Matte Complete Concealer,$30,None,Bases,2018
19,FACIAL SELF-TANNER,Tan-Luxe The Face,$49,None,Bases,2018
20,BRONZER: Matte,Too Faced Chocolate Soleil Bronzer,$30,None,Bases,2018
21,BRONZER: Shimmer,Dior Diorskin Mineral Nude Bronze,$48,None,Bases,2018
22,SETTING SPRAY,Urban Decay All Nighter Long Lasting Makeup Setting Spray,$32,None,Bases,2018
