,Product Type,Product Name,Price,Skin Type
0,FACIAL CLEANSER,Tata Harper Regenerating Cleanser,$82,none
1,FACIAL MOISTURIZER,Drunk Elephant Lala Retro Whipped Cream,$60,none
2,FACIAL SUNSCREEN,Drunk Elephant Umbra Sheer Physical Daily Defense SPF 30,$34,none
3,BODY LOTION,Alba Botanica Very Emollient Body Lotion in Original,$12,none
4,BODY SUNSCREEN,Alba Botanica Hawaiian Sunscreen Green Tea SPF 45,$9,none
5,SHAMPOO AND CONDITIONER,Carol's Daughter Black Vanilla Moisture & Shine Sulfate-Free Shampoo,$12,none
6,STYLING CREAM,Aveda Smooth Infusion Naturally Straight,$26,none
7,MASCARA,BareMinerals Flawless Definition Mascara,$19,none
8,EYE SHADOW,BareMinerals Ready Eyeshadow 8.0 in The Power Neutrals,$41,none
9,BLUSH,BareMinerals Ready Blush,$24,none
10,FOUNDATION,BareMinerals Original Foundation,$29,none
11,CONCEALER,BareMinerals Correcting Concealer,$21,none
12,TINTED MOISTURIZER,BareMinerals Complexion Rescue Tinted Hydrating Gel Cream,$30,none
13,LIP BALM,Burt’s Bees Beeswax Lip Balm,$3,none
14,LIPSTICK,Burt’s Bees Lipstick in Juniper Water,$9,none
